dataset,cell,n_pairs,paired_n_median,dcor_sq,ci_lo,ci_hi
CIP,Human-Human,40,100,0.6177872022167019,0.5268878419883283,0.683757958478689
CIP,Human-LLM,100,100,0.5067452311367856,0.4238767874793235,0.5731856014696279
CIP,Between-LLM,40,100,0.7303913833468636,0.5594712943850513,0.82012342699215
Menagerie,Human-Human,168,40,0.15427285637627253,0.07178569886164718,0.2461988100170625
Menagerie,Human-LLM,560,40,0.0751897227361254,0.04503869897433395,0.1094357413031656
Menagerie,Between-LLM,40,279,0.28336117050106047,0.24133612756861073,0.3250092139059052
